Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
61.4,0.00062189,12.655012,3.168536
61.5,0.000622877,12.635471,3.173864
61.6,0.00062386,12.641807,3.180692
61.7,0.000624874,12.66759,3.188064
61.8,0.000625877,12.675577,3.195397
61.9,0.000626868,12.705961,3.204461
62,0.000627874,12.628047,3.209574
62.1,0.000628878,12.727837,3.217157
62.2,0.000629864,12.668566,3.221372
62.3,0.000630884,12.680231,3.229275
62.4,0.000631869,12.662461,3.236482
62.5,0.000632861,12.623687,3.242142
62.6,0.000633867,12.680099,3.248502
62.7,0.000634883,12.707801,3.256391
62.8,0.000635872,12.65385,3.264492
62.9,0.000636863,12.611278,3.27163
63,0.000637876,12.65986,3.277843
63.1,0.000638877,12.664675,3.286131
63.2,0.000639868,12.658009,3.293768
63.3,0.00064088,12.695865,3.299428
63.4,0.000641866,12.644786,3.306886
63.5,0.000642866,12.669524,3.315082
63.6,0.00064388,12.648399,3.320612
63.7,0.000644876,12.717038,3.327659
63.8,0.000645862,12.700903,3.334835
63.9,0.000646878,12.702491,3.341854
64,0.000647875,12.659906,3.348906
64.1,0.00064887,12.651128,3.35694
64.2,0.00064987,12.653759,3.364897
64.3,0.00065088,12.646575,3.372443
64.4,0.000651861,12.705691,3.378849
64.5,0.000652871,12.671451,3.384744
64.6,0.000653871,12.670571,3.392294
64.7,0.000654862,12.67679,3.399883
64.8,0.000655867,12.752544,3.407659
64.9,0.000656866,12.680558,3.413126
65,0.000657869,12.708083,3.422061
65.1,0.000658883,12.669797,3.427697
65.2,0.000659863,12.648273,3.433849
65.3,0.000660863,12.702925,3.441553
65.4,0.000661876,12.71285,3.448977
65.5,0.000662876,12.73286,3.456728
65.6,0.000663868,12.631436,3.463371
65.7,0.000664875,12.690476,3.471816
65.8,0.000665876,12.735796,3.47854
65.9,0.000666874,12.685356,3.485636
66,0.000667888,12.633259,3.491971
66.1,0.000668869,12.692154,3.498275
66.2,0.000669874,12.651862,3.506626
66.3,0.000670878,12.690621,3.51293
66.4,0.000671862,12.680285,3.51933
66.5,0.000672875,12.75733,3.526919
66.6,0.000673883,12.730501,3.536535
66.7,0.000674867,12.638868,3.541536
66.8,0.000675878,12.649583,3.549631
66.9,0.000676873,12.687713,3.556531
67,0.000677862,12.661149,3.564563
67.1,0.000678874,12.657371,3.570526
67.2,0.000679865,12.653175,3.578863
67.3,0.000680865,12.634935,3.586362
67.4,0.000681871,12.724827,3.593962
67.5,0.000682872,12.540745,3.600246
67.6,0.00068387,12.689244,3.60647
67.7,0.000684869,12.64217,3.614146
67.8,0.000685888,12.647246,3.622491
67.9,0.000686868,12.644562,3.628417
